,detector,text_id,score,fp,pp
250,GPT2Detector,grs_fp_0.2_0.8_res_1,0.0870294570922851,0.2,0.8
251,GPT2Detector,grs_fp_0.2_0.7_res_4,0.9998154044151306,0.2,0.7
252,GPT2Detector,grs_fp_0.2_0.8_res_2,0.0181257724761962,0.2,0.8
253,GPT2Detector,grs_fp_0.2_0.8_res_4,0.3559121489524841,0.2,0.8
254,GPT2Detector,grs_fp_0.2_0.8_res_3,0.9998156428337096,0.2,0.8
255,GPT2Detector,grs_fp_0.2_0.9_res_1,0.9650124311447144,0.2,0.9
256,GPT2Detector,grs_fp_0.2_0.9_res_0,0.9995025396347046,0.2,0.9
257,GPT2Detector,grs_fp_0.2_0.9_res_2,0.999775230884552,0.2,0.9
258,GPT2Detector,grs_fp_0.2_0.9_res_3,0.9998145699501038,0.2,0.9
259,GPT2Detector,grs_fp_0.2_0.9_res_4,0.6833263039588928,0.2,0.9
260,GPT2Detector,grs_fp_0.2_1.0_res_0,0.999768316745758,0.2,1.0
261,GPT2Detector,grs_fp_0.2_1.0_res_1,0.9997518658638,0.2,1.0
262,GPT2Detector,grs_fp_0.2_1.0_res_2,0.0001940131187438,0.2,1.0
263,GPT2Detector,grs_fp_0.2_1.0_res_4,0.9998119473457336,0.2,1.0
264,GPT2Detector,grs_fp_0.2_1.0_res_3,0.4172558784484863,0.2,1.0
265,GPT2Detector,grs_fp_0.2_1.1_res_2,0.0019112229347229,0.2,1.1
266,GPT2Detector,grs_fp_0.2_1.1_res_4,0.9998154044151306,0.2,1.1
267,GPT2Detector,grs_fp_0.2_1.1_res_3,0.7355554103851318,0.2,1.1
268,GPT2Detector,grs_fp_0.2_1.1_res_0,0.9912952184677124,0.2,1.1
269,GPT2Detector,grs_fp_0.2_1.2_res_0,0.9955346584320068,0.2,1.2
270,GPT2Detector,grs_fp_0.2_1.1_res_1,0.9998212456703186,0.2,1.1
271,GPT2Detector,grs_fp_0.2_1.2_res_1,0.9996281862258912,0.2,1.2
272,GPT2Detector,grs_fp_0.2_1.2_res_2,0.1166719198226928,0.2,1.2
273,GPT2Detector,grs_fp_0.2_1.3_res_1,0.3831539154052734,0.2,1.3
274,GPT2Detector,grs_fp_0.2_1.3_res_2,0.451845109462738,0.2,1.3
275,GPT2Detector,grs_fp_0.2_1.2_res_3,0.140279471874237,0.2,1.2
276,GPT2Detector,grs_fp_0.2_1.2_res_4,0.9996144771575928,0.2,1.2
277,GPT2Detector,grs_fp_0.2_1.3_res_4,0.9979074001312256,0.2,1.3
