detector,text_id,score,parameter name,parameter value,category
GPT2Detector,pp_0.1_arg_0,0.9998258948326112,pp,0.1,arg
GPT2Detector,pp_0.1_arg_1,0.9997484087944032,pp,0.1,arg
GPT2Detector,pp_0.1_arg_3,0.99982351064682,pp,0.1,arg
GPT2Detector,pp_0.1_res_1,0.9998239874839784,pp,0.1,res
GPT2Detector,pp_0.1_arg_4,0.9997102618217468,pp,0.1,arg
GPT2Detector,pp_0.1_res_0,0.9997945427894592,pp,0.1,res
GPT2Detector,pp_0.1_res_4,0.9997735619544984,pp,0.1,res
GPT2Detector,pp_0.1_res_2,0.9987984895706176,pp,0.1,res
GPT2Detector,pp_0.2_arg_1,0.9970884919166564,pp,0.2,arg
GPT2Detector,pp_0.2_arg_2,0.9998072981834412,pp,0.2,arg
GPT2Detector,pp_0.1_res_3,0.8672381043434143,pp,0.1,res
GPT2Detector,pp_0.2_arg_0,0.9998273253440856,pp,0.2,arg
GPT2Detector,pp_0.2_arg_3,0.9998190999031068,pp,0.2,arg
GPT2Detector,pp_0.2_arg_4,0.999824583530426,pp,0.2,arg
GPT2Detector,pp_0.2_res_0,0.9998194575309752,pp,0.2,res
GPT2Detector,pp_0.2_res_1,0.9998018145561218,pp,0.2,res
GPT2Detector,pp_0.2_res_2,0.9992407560348512,pp,0.2,res
GPT2Detector,pp_0.2_res_4,0.9998143315315248,pp,0.2,res
GPT2Detector,pp_0.2_res_3,0.9967177510261536,pp,0.2,res
GPT2Detector,pp_0.3_arg_2,0.9997414946556092,pp,0.3,arg
GPT2Detector,pp_0.3_arg_1,0.4101870059967041,pp,0.3,arg
GPT2Detector,pp_0.3_arg_0,0.9998263716697692,pp,0.3,arg
GPT2Detector,pp_0.3_arg_4,0.9997878670692444,pp,0.3,arg
GPT2Detector,pp_0.3_arg_3,0.5253780484199524,pp,0.3,arg
GPT2Detector,pp_0.3_res_0,0.9997698664665222,pp,0.3,res
GPT2Detector,pp_0.3_res_1,0.999825656414032,pp,0.3,res
GPT2Detector,pp_0.3_res_2,0.5578670501708984,pp,0.3,res
GPT2Detector,pp_0.3_res_3,0.9997813105583192,pp,0.3,res
GPT2Detector,pp_0.4_arg_0,0.9997921586036682,pp,0.4,arg
GPT2Detector,pp_0.4_arg_2,0.999824583530426,pp,0.4,arg
GPT2Detector,pp_0.3_res_4,0.9998261332511902,pp,0.3,res
GPT2Detector,pp_0.4_arg_3,0.9997782111167908,pp,0.4,arg
GPT2Detector,pp_0.4_arg_1,0.9996274709701538,pp,0.4,arg
GPT2Detector,pp_0.4_arg_4,0.9995538592338562,pp,0.4,arg
GPT2Detector,pp_0.4_res_0,0.999806582927704,pp,0.4,res
GPT2Detector,pp_0.4_res_2,0.9977366924285888,pp,0.4,res
GPT2Detector,pp_0.4_res_1,0.9998261332511902,pp,0.4,res
GPT2Detector,pp_0.4_res_3,0.9998266100883484,pp,0.4,res
GPT2Detector,pp_0.5_arg_2,0.9998185038566588,pp,0.5,arg
GPT2Detector,pp_0.4_res_4,0.9996814727783204,pp,0.4,res
GPT2Detector,pp_0.5_arg_0,0.9997982382774352,pp,0.5,arg
GPT2Detector,pp_0.5_arg_1,0.381658673286438,pp,0.5,arg
GPT2Detector,pp_0.5_arg_3,0.9864148497581482,pp,0.5,arg
GPT2Detector,pp_0.5_arg_4,0.9998169541358948,pp,0.5,arg
GPT2Detector,pp_0.5_res_1,0.999822437763214,pp,0.5,res
GPT2Detector,pp_0.5_res_0,0.9998040795326232,pp,0.5,res
GPT2Detector,pp_0.5_res_2,0.0155795216560363,pp,0.5,res
GPT2Detector,pp_0.5_res_4,0.9998179078102112,pp,0.5,res
GPT2Detector,pp_0.5_res_3,0.9981927275657654,pp,0.5,res
GPT2Detector,pp_0.6_arg_0,0.9998061060905457,pp,0.6,arg
GPT2Detector,pp_0.6_arg_1,0.9379305839538574,pp,0.6,arg
